"id","date","customer_id","amount"
"2301021XX1","2023-01-02",771,"44.72"
"2301021XX2","2023-01-02",670,"48.16"
"2301021XX3","2023-01-02",29,"17.05"
"2301021XX4","2023-01-02",501,"79.34"
"2301021XX5","2023-01-02",102,"39.76"
"2301021XX6","2023-01-02",68,"37.20"
"2301021XX7","2023-01-02",685,"56.39"
"2301021XX8","2023-01-02",542,"114.63"
"2301021XX9","2023-01-02",157,"28.32"
"2301021X10","2023-01-02",726,"109.32"
"2301021X11","2023-01-02",513,"26.41"
"2301021X12","2023-01-02",426,"90.88"
"2301021X13","2023-01-02",281,"46.72"
"2301021X14","2023-01-02",345,"91.00"
"2301021X15","2023-01-02",55,"65.66"
"2301021X16","2023-01-02",624,"51.77"
"2301021X17","2023-01-02",175,"69.54"
"2301031XX1","2023-01-03",771,"110.89"
"2301031XX2","2023-01-03",665,"69.09"
"2301031XX3","2023-01-03",147,"40.30"
"2301031XX4","2023-01-03",603,"51.94"
"2301031XX5","2023-01-03",723,"88.63"
"2301031XX6","2023-01-03",595,"99.30"
"2301031XX7","2023-01-03",118,"35.81"
"2301031XX8","2023-01-03",105,"20.88"
"2301031XX9","2023-01-03",468,"117.49"
"2301031X10","2023-01-03",656,"36.19"
"2301031X11","2023-01-03",39,"17.31"
"2301031X12","2023-01-03",404,"97.24"
"2301031X13","2023-01-03",535,"16.88"
"2301031X14","2023-01-03",715,"86.86"
"2301031X15","2023-01-03",481,"25.87"
"2301031X16","2023-01-03",399,"94.16"
"2301031X17","2023-01-03",52,"12.31"
"2301031X18","2023-01-03",511,"109.70"
"2301031X19","2023-01-03",687,"102.15"
"2301031X20","2023-01-03",568,"42.51"
"2301031X21","2023-01-03",2,"33.72"
"2301031X22","2023-01-03",49,"82.27"
"2301031X23","2023-01-03",589,"26.81"
"2301041XX1","2023-01-04",246,"111.65"
"2301041XX2","2023-01-04",565,"93.06"
"2301041XX3","2023-01-04",753,"19.46"
"2301041XX4","2023-01-04",52,"87.84"
"2301041XX5","2023-01-04",342,"15.19"
"2301041XX6","2023-01-04",408,"89.91"
"2301041XX7","2023-01-04",79,"75.38"
"2301041XX8","2023-01-04",394,"104.60"
"2301041XX9","2023-01-04",545,"13.23"
"2301041X10","2023-01-04",488,"88.94"
"2301041X11","2023-01-04",273,"109.54"
"2301041X12","2023-01-04",665,"16.31"
"2301041X13","2023-01-04",14,"21.60"
"2301051XX1","2023-01-05",36,"86.25"
"2301051XX2","2023-01-05",251,"102.60"
"2301051XX3","2023-01-05",637,"62.27"
