"id","date","customer_id","amount"
"2301026XX1","2023-01-02",300,"16.47"
"2301026XX2","2023-01-02",440,"17.43"
"2301026XX3","2023-01-02",224,"64.86"
"2301026XX4","2023-01-02",578,"34.01"
"2301026XX5","2023-01-02",347,"72.18"
"2301026XX6","2023-01-02",546,"27.18"
"2301026XX7","2023-01-02",344,"85.21"
"2301026XX8","2023-01-02",112,"55.52"
"2301026XX9","2023-01-02",739,"31.71"
"2301026X10","2023-01-02",718,"66.97"
"2301026X11","2023-01-02",371,"84.30"
"2301026X12","2023-01-02",23,"24.62"
"2301026X13","2023-01-02",48,"55.00"
"2301026X14","2023-01-02",646,"52.04"
"2301026X15","2023-01-02",392,"50.39"
"2301026X16","2023-01-02",606,"53.61"
"2301026X17","2023-01-02",593,"48.75"
"2301026X18","2023-01-02",652,"68.68"
"2301026X19","2023-01-02",204,"70.93"
"2301026X20","2023-01-02",242,"64.32"
"2301026X21","2023-01-02",70,"39.57"
"2301026X22","2023-01-02",722,"58.80"
"2301026X23","2023-01-02",546,"20.67"
"2301026X24","2023-01-02",246,"31.03"
"2301026X25","2023-01-02",334,"76.09"
"2301026X26","2023-01-02",180,"76.55"
"2301026X27","2023-01-02",51,"40.88"
"2301026X28","2023-01-02",726,"21.61"
"2301026X29","2023-01-02",397,"40.58"
"2301026X30","2023-01-02",309,"14.59"
"2301026X31","2023-01-02",714,"77.49"
"2301026X32","2023-01-02",509,"47.75"
"2301026X33","2023-01-02",516,"74.25"
"2301026X34","2023-01-02",509,"17.90"
"2301026X35","2023-01-02",658,"30.15"
"2301026X36","2023-01-02",408,"15.05"
"2301026X37","2023-01-02",33,"22.30"
"2301026X38","2023-01-02",688,"61.79"
"2301026X39","2023-01-02",437,"31.45"
"2301026X40","2023-01-02",602,"32.91"
"2301026X41","2023-01-02",345,"51.74"
"2301026X42","2023-01-02",204,"45.50"
"2301026X43","2023-01-02",516,"85.62"
"2301026X44","2023-01-02",480,"78.11"
"2301026X45","2023-01-02",492,"21.33"
"2301026X46","2023-01-02",46,"32.49"
"2301026X47","2023-01-02",699,"67.54"
"2301026X48","2023-01-02",110,"16.57"
"2301026X49","2023-01-02",40,"8.50"
"2301026X50","2023-01-02",264,"11.34"
"2301026X51","2023-01-02",350,"24.21"
"2301026X52","2023-01-02",692,"40.77"
"2301026X53","2023-01-02",769,"42.79"
"2301026X54","2023-01-02",356,"43.95"
"2301026X55","2023-01-02",611,"59.44"
"2301026X56","2023-01-02",217,"45.60"
"2301026X57","2023-01-02",684,"66.74"
"2301026X58","2023-01-02",195,"51.86"
"2301026X59","2023-01-02",519,"22.54"
"2301026X60","2023-01-02",297,"16.23"
"2301026X61","2023-01-02",325,"70.74"
"2301026X62","2023-01-02",624,"10.65"
"2301026X63","2023-01-02",59,"16.37"
"2301026X64","2023-01-02",200,"49.06"
"2301026X65","2023-01-02",198,"21.45"
"2301026X66","2023-01-02",754,"56.02"
"2301026X67","2023-01-02",605,"31.71"
"2301026X68","2023-01-02",337,"72.12"
"2301026X69","2023-01-02",356,"51.54"
"2301026X70","2023-01-02",650,"77.13"
"2301026X71","2023-01-02",275,"69.07"
"2301026X72","2023-01-02",30,"85.02"
"2301026X73","2023-01-02",397,"26.54"
"2301026X74","2023-01-02",331,"18.04"
"2301036XX1","2023-01-03",382,"82.06"
"2301036XX2","2023-01-03",309,"10.20"
"2301036XX3","2023-01-03",516,"81.45"
"2301036XX4","2023-01-03",155,"52.30"
"2301036XX5","2023-01-03",147,"62.35"
"2301036XX6","2023-01-03",47,"15.94"
"2301036XX7","2023-01-03",109,"82.84"
"2301036XX8","2023-01-03",591,"86.13"
"2301036XX9","2023-01-03",603,"73.74"
"2301036X10","2023-01-03",507,"13.32"
"2301036X11","2023-01-03",772,"84.94"
"2301036X12","2023-01-03",478,"47.48"
"2301036X13","2023-01-03",676,"20.95"
"2301036X14","2023-01-03",95,"30.22"
"2301036X15","2023-01-03",673,"26.94"
"2301036X16","2023-01-03",496,"89.23"
"2301036X17","2023-01-03",609,"37.98"
"2301036X18","2023-01-03",12,"20.09"
"2301036X19","2023-01-03",49,"78.38"
"2301036X20","2023-01-03",305,"23.99"
"2301036X21","2023-01-03",298,"27.94"
"2301036X22","2023-01-03",731,"71.74"
"2301036X23","2023-01-03",331,"74.45"
"2301036X24","2023-01-03",430,"69.02"
"2301036X25","2023-01-03",708,"77.77"
"2301036X26","2023-01-03",703,"78.26"
