"id","date","customer_id","amount"
"2301023XX1","2023-01-02",501,"208.20"
"2301023XX2","2023-01-02",440,"264.47"
"2301023XX3","2023-01-02",4,"54.98"
"2301023XX4","2023-01-02",145,"269.59"
"2301023XX5","2023-01-02",68,"95.51"
"2301023XX6","2023-01-02",347,"143.22"
"2301023XX7","2023-01-02",202,"249.88"
"2301023XX8","2023-01-02",559,"148.73"
"2301023XX9","2023-01-02",540,"270.91"
"2301023X10","2023-01-02",662,"240.06"
"2301023X11","2023-01-02",157,"289.05"
"2301023X12","2023-01-02",590,"167.34"
"2301023X13","2023-01-02",637,"190.16"
"2301023X14","2023-01-02",431,"84.22"
"2301023X15","2023-01-02",180,"50.43"
"2301023X16","2023-01-02",55,"91.52"
"2301023X17","2023-01-02",521,"76.58"
"2301023X18","2023-01-02",309,"135.46"
"2301023X19","2023-01-02",509,"32.32"
"2301023X20","2023-01-02",688,"216.80"
"2301023X21","2023-01-02",739,"81.31"
"2301023X22","2023-01-02",684,"100.22"
"2301023X23","2023-01-02",519,"31.80"
"2301023X24","2023-01-02",255,"132.66"
"2301023X25","2023-01-02",542,"66.81"
"2301023X26","2023-01-02",325,"182.73"
"2301023X27","2023-01-02",198,"144.70"
"2301023X28","2023-01-02",337,"283.31"
"2301023X29","2023-01-02",650,"119.83"
"2301023X30","2023-01-02",30,"166.12"
"2301023X31","2023-01-02",226,"122.49"
"2301033XX1","2023-01-03",689,"176.52"
"2301033XX2","2023-01-03",116,"216.12"
"2301033XX3","2023-01-03",155,"102.17"
"2301033XX4","2023-01-03",603,"117.91"
"2301033XX5","2023-01-03",772,"219.79"
"2301033XX6","2023-01-03",10,"234.27"
"2301033XX7","2023-01-03",203,"130.40"
"2301033XX8","2023-01-03",472,"72.79"
"2301033XX9","2023-01-03",49,"156.93"
"2301033X10","2023-01-03",8,"54.75"
"2301033X11","2023-01-03",222,"193.29"
"2301033X12","2023-01-03",103,"77.13"
"2301033X13","2023-01-03",425,"171.70"
"2301033X14","2023-01-03",720,"281.62"
"2301033X15","2023-01-03",177,"138.49"
"2301033X16","2023-01-03",459,"77.43"
"2301033X17","2023-01-03",611,"146.79"
"2301033X18","2023-01-03",509,"176.91"
"2301033X19","2023-01-03",501,"233.56"
"2301033X20","2023-01-03",114,"270.02"
"2301033X21","2023-01-03",126,"118.79"
"2301033X22","2023-01-03",381,"193.08"
"2301033X23","2023-01-03",4,"48.53"
"2301033X24","2023-01-03",318,"232.56"
"2301043XX1","2023-01-04",293,"144.29"
"2301043XX2","2023-01-04",710,"297.91"
"2301043XX3","2023-01-04",700,"39.10"
"2301043XX4","2023-01-04",661,"191.56"
"2301043XX5","2023-01-04",497,"242.88"
"2301043XX6","2023-01-04",440,"254.15"
"2301043XX7","2023-01-04",70,"244.83"
"2301043XX8","2023-01-04",485,"162.40"
"2301043XX9","2023-01-04",572,"86.70"
"2301043X10","2023-01-04",210,"251.84"
"2301043X11","2023-01-04",720,"240.21"
"2301043X12","2023-01-04",382,"270.04"
"2301043X13","2023-01-04",95,"158.80"
"2301043X14","2023-01-04",760,"115.85"
"2301043X15","2023-01-04",408,"198.96"
"2301043X16","2023-01-04",642,"150.15"
"2301043X17","2023-01-04",768,"71.59"
"2301043X18","2023-01-04",354,"67.02"
"2301043X19","2023-01-04",501,"104.43"
"2301043X20","2023-01-04",394,"288.29"
"2301043X21","2023-01-04",488,"79.52"
"2301043X22","2023-01-04",331,"98.09"
"2301053XX1","2023-01-05",354,"223.56"
"2301053XX2","2023-01-05",318,"261.82"
"2301053XX3","2023-01-05",46,"101.89"
"2301053XX4","2023-01-05",637,"212.41"
"2301053XX5","2023-01-05",422,"184.98"
"2301053XX6","2023-01-05",54,"260.16"
"2301053XX7","2023-01-05",689,"158.52"
"2301053XX8","2023-01-05",575,"98.47"
"2301053XX9","2023-01-05",335,"61.00"
"2301053X10","2023-01-05",357,"242.10"
"2301053X11","2023-01-05",576,"290.69"
"2301053X12","2023-01-05",182,"215.41"
"2301053X13","2023-01-05",60,"185.72"
"2301053X14","2023-01-05",591,"92.24"
"2301053X15","2023-01-05",12,"109.33"
"2301053X16","2023-01-05",431,"166.91"
"2301053X17","2023-01-05",77,"169.27"
"2301053X18","2023-01-05",476,"87.98"
"2301053X19","2023-01-05",488,"109.97"
"2301053X20","2023-01-05",769,"239.45"
"2301053X21","2023-01-05",54,"226.73"
"2301053X22","2023-01-05",523,"51.43"
"2301053X23","2023-01-05",610,"167.24"
"2301053X24","2023-01-05",305,"182.22"
"2301063XX1","2023-01-06",564,"248.70"
"2301063XX2","2023-01-06",139,"274.35"
"2301063XX3","2023-01-06",83,"81.53"
"2301063XX4","2023-01-06",299,"180.56"
"2301063XX5","2023-01-06",117,"277.82"
"2301063XX6","2023-01-06",345,"212.10"
"2301063XX7","2023-01-06",176,"269.76"
"2301063XX8","2023-01-06",21,"164.14"
"2301063XX9","2023-01-06",667,"155.26"
"2301063X10","2023-01-06",314,"235.70"
"2301063X11","2023-01-06",177,"198.42"
"2301063X12","2023-01-06",375,"176.64"
"2301063X13","2023-01-06",299,"45.21"
"2301063X14","2023-01-06",9,"49.05"
"2301063X15","2023-01-06",555,"219.66"
"2301063X16","2023-01-06",218,"167.34"
"2301063X17","2023-01-06",636,"193.04"
"2301063X18","2023-01-06",564,"165.91"
"2301063X19","2023-01-06",751,"177.37"
"2301063X20","2023-01-06",300,"151.23"
"2301063X21","2023-01-06",705,"130.86"
"2301063X22","2023-01-06",719,"284.97"
"2301063X23","2023-01-06",253,"97.62"
"2301063X24","2023-01-06",294,"162.02"
"2301063X25","2023-01-06",656,"256.14"
"2301063X26","2023-01-06",613,"181.71"
"2301063X27","2023-01-06",415,"139.87"
"2301063X28","2023-01-06",522,"45.72"
"2301063X29","2023-01-06",9,"150.23"
"2301063X30","2023-01-06",380,"267.53"
"2301063X31","2023-01-06",554,"164.12"
"2301073XX1","2023-01-07",121,"48.25"
"2301073XX2","2023-01-07",17,"289.22"
"2301073XX3","2023-01-07",218,"158.55"
"2301073XX4","2023-01-07",309,"171.26"
"2301073XX5","2023-01-07",124,"263.69"
"2301073XX6","2023-01-07",613,"164.67"
"2301073XX7","2023-01-07",171,"123.60"
"2301073XX8","2023-01-07",161,"170.86"
"2301073XX9","2023-01-07",67,"282.24"
"2301073X10","2023-01-07",572,"50.39"
"2301073X11","2023-01-07",28,"136.68"
"2301073X12","2023-01-07",496,"160.38"
"2301073X13","2023-01-07",495,"83.82"
"2301073X14","2023-01-07",269,"244.41"
"2301073X15","2023-01-07",733,"35.68"
"2301073X16","2023-01-07",77,"69.03"
"2301073X17","2023-01-07",93,"176.22"
"2301073X18","2023-01-07",274,"217.00"
"2301073X19","2023-01-07",773,"274.67"
"2301073X20","2023-01-07",527,"128.41"
"2301073X21","2023-01-07",60,"231.40"
"2301073X22","2023-01-07",697,"258.85"
"2301073X23","2023-01-07",606,"82.09"
"2301073X24","2023-01-07",299,"198.65"
"2301073X25","2023-01-07",504,"195.79"
"2301073X26","2023-01-07",124,"112.75"
"2301073X27","2023-01-07",55,"107.95"
"2301073X28","2023-01-07",294,"77.91"
"2301073X29","2023-01-07",34,"220.13"
"2301073X30","2023-01-07",527,"85.30"
"2301073X31","2023-01-07",471,"64.52"
"2301083XX1","2023-01-08",210,"84.36"
"2301083XX2","2023-01-08",232,"226.47"
"2301083XX3","2023-01-08",548,"283.86"
"2301083XX4","2023-01-08",224,"47.38"
"2301083XX5","2023-01-08",693,"102.09"
"2301083XX6","2023-01-08",264,"47.37"
"2301083XX7","2023-01-08",292,"295.73"
"2301083XX8","2023-01-08",639,"58.54"
