"id","date","customer_id","amount"
"2301024XX1","2023-01-02",646,"175.02"
"2301024XX2","2023-01-02",664,"100.97"
"2301024XX3","2023-01-02",392,"186.85"
"2301024XX4","2023-01-02",606,"55.01"
"2301024XX5","2023-01-02",402,"51.40"
"2301024XX6","2023-01-02",641,"145.65"
"2301024XX7","2023-01-02",204,"127.31"
"2301024XX8","2023-01-02",242,"160.06"
"2301024XX9","2023-01-02",410,"70.65"
"2301024X10","2023-01-02",67,"98.16"
"2301024X11","2023-01-02",590,"66.61"
"2301024X12","2023-01-02",722,"3.89"
"2301024X13","2023-01-02",546,"118.17"
"2301024X14","2023-01-02",681,"141.27"
"2301024X15","2023-01-02",560,"121.45"
"2301024X16","2023-01-02",334,"81.09"
"2301024X17","2023-01-02",431,"43.16"
"2301024X18","2023-01-02",677,"134.88"
"2301024X19","2023-01-02",51,"85.84"
"2301024X20","2023-01-02",55,"179.64"
"2301024X21","2023-01-02",104,"48.36"
"2301024X22","2023-01-02",397,"119.68"
"2301024X23","2023-01-02",309,"64.01"
"2301024X24","2023-01-02",297,"166.47"
"2301024X25","2023-01-02",88,"105.31"
"2301024X26","2023-01-02",509,"4.22"
"2301024X27","2023-01-02",765,"175.81"
"2301024X28","2023-01-02",509,"54.99"
"2301024X29","2023-01-02",658,"141.75"
"2301024X30","2023-01-02",33,"36.71"
"2301024X31","2023-01-02",688,"182.76"
"2301024X32","2023-01-02",426,"117.43"
"2301024X33","2023-01-02",437,"92.39"
"2301024X34","2023-01-02",602,"18.16"
"2301024X35","2023-01-02",345,"51.57"
"2301024X36","2023-01-02",204,"63.72"
"2301024X37","2023-01-02",480,"100.58"
"2301024X38","2023-01-02",492,"51.51"
"2301024X39","2023-01-02",46,"172.82"
"2301024X40","2023-01-02",699,"70.57"
"2301024X41","2023-01-02",110,"176.14"
"2301024X42","2023-01-02",55,"173.21"
"2301024X43","2023-01-02",18,"19.48"
"2301024X44","2023-01-02",119,"74.49"
"2301024X45","2023-01-02",40,"82.37"
"2301024X46","2023-01-02",593,"51.71"
"2301024X47","2023-01-02",264,"19.28"
"2301024X48","2023-01-02",681,"48.81"
"2301024X49","2023-01-02",372,"68.68"
"2301024X50","2023-01-02",769,"4.15"
"2301024X51","2023-01-02",457,"64.56"
"2301024X52","2023-01-02",356,"78.89"
"2301024X53","2023-01-02",306,"113.50"
"2301024X54","2023-01-02",611,"10.37"
"2301024X55","2023-01-02",739,"176.82"
"2301024X56","2023-01-02",612,"73.65"
"2301024X57","2023-01-02",217,"2.24"
"2301024X58","2023-01-02",159,"103.91"
