"id","date","customer_id","amount"
"2301028XX1","2023-01-02",542,"36.37"
"2301028XX2","2023-01-02",397,"23.12"
"2301028XX3","2023-01-02",55,"45.24"
"2301028XX4","2023-01-02",345,"31.62"
"2301028XX5","2023-01-02",431,"18.25"
"2301028XX6","2023-01-02",217,"14.02"
"2301028XX7","2023-01-02",111,"16.19"
"2301028XX8","2023-01-02",542,"10.66"
"2301028XX9","2023-01-02",4,"32.48"
"2301028X10","2023-01-02",692,"28.09"
"2301028X11","2023-01-02",195,"16.07"
"2301028X12","2023-01-02",380,"27.55"
"2301038XX1","2023-01-03",589,"6.75"
"2301038XX2","2023-01-03",468,"19.16"
"2301038XX3","2023-01-03",697,"15.71"
"2301038XX4","2023-01-03",39,"5.42"
"2301038XX5","2023-01-03",147,"21.18"
"2301038XX6","2023-01-03",469,"30.99"
"2301038XX7","2023-01-03",145,"17.74"
"2301038XX8","2023-01-03",553,"37.10"
"2301038XX9","2023-01-03",654,"36.81"
"2301038X10","2023-01-03",55,"25.31"
"2301038X11","2023-01-03",496,"26.60"
"2301038X12","2023-01-03",412,"28.91"
"2301038X13","2023-01-03",660,"26.46"
"2301038X14","2023-01-03",123,"31.36"
"2301048XX1","2023-01-04",638,"17.71"
"2301048XX2","2023-01-04",710,"15.01"
"2301048XX3","2023-01-04",574,"11.71"
"2301048XX4","2023-01-04",400,"41.48"
"2301048XX5","2023-01-04",638,"6.14"
"2301048XX6","2023-01-04",408,"46.28"
"2301048XX7","2023-01-04",522,"45.02"
"2301048XX8","2023-01-04",503,"47.74"
"2301048XX9","2023-01-04",545,"33.16"
"2301058XX1","2023-01-05",496,"47.06"
"2301058XX2","2023-01-05",335,"13.46"
"2301058XX3","2023-01-05",1,"42.74"
"2301058XX4","2023-01-05",34,"29.83"
"2301058XX5","2023-01-05",535,"7.19"
"2301058XX6","2023-01-05",157,"37.97"
"2301058XX7","2023-01-05",220,"45.62"
"2301058XX8","2023-01-05",60,"34.96"
"2301058XX9","2023-01-05",576,"43.01"
"2301058X10","2023-01-05",124,"8.68"
"2301058X11","2023-01-05",729,"42.03"
"2301058X12","2023-01-05",749,"43.03"
"2301058X13","2023-01-05",93,"13.71"
"2301058X14","2023-01-05",575,"10.34"
"2301068XX1","2023-01-06",178,"11.51"
"2301068XX2","2023-01-06",639,"26.66"
"2301068XX3","2023-01-06",223,"14.38"
"2301068XX4","2023-01-06",650,"31.91"
"2301068XX5","2023-01-06",544,"43.46"
"2301068XX6","2023-01-06",29,"14.31"
"2301068XX7","2023-01-06",613,"40.27"
"2301068XX8","2023-01-06",449,"6.31"
"2301068XX9","2023-01-06",595,"17.93"
"2301078XX1","2023-01-07",519,"45.61"
"2301078XX2","2023-01-07",711,"8.53"
