"id","date","customer_id","amount"
"2301025XX1","2023-01-02",771,"11.93"
"2301025XX2","2023-01-02",501,"32.88"
"2301025XX3","2023-01-02",440,"16.87"
"2301025XX4","2023-01-02",728,"15.84"
"2301025XX5","2023-01-02",217,"6.43"
"2301025XX6","2023-01-02",767,"29.13"
"2301025XX7","2023-01-02",4,"33.19"
"2301025XX8","2023-01-02",666,"26.14"
"2301025XX9","2023-01-02",165,"48.15"
"2301025X10","2023-01-02",224,"5.01"
"2301025X11","2023-01-02",102,"12.14"
"2301025X12","2023-01-02",339,"40.94"
"2301025X13","2023-01-02",727,"20.35"
"2301025X14","2023-01-02",578,"15.35"
"2301025X15","2023-01-02",68,"28.97"
"2301025X16","2023-01-02",732,"2.27"
"2301025X17","2023-01-02",344,"9.02"
"2301025X18","2023-01-02",582,"14.95"
"2301025X19","2023-01-02",414,"34.33"
"2301025X20","2023-01-02",565,"27.48"
"2301025X21","2023-01-02",575,"33.70"
"2301025X22","2023-01-02",100,"6.35"
"2301025X23","2023-01-02",685,"14.87"
"2301025X24","2023-01-02",559,"36.18"
"2301025X25","2023-01-02",112,"45.66"
"2301025X26","2023-01-02",540,"23.82"
"2301025X27","2023-01-02",718,"19.95"
"2301025X28","2023-01-02",371,"22.75"
"2301025X29","2023-01-02",421,"10.84"
"2301025X30","2023-01-02",23,"16.35"
"2301025X31","2023-01-02",542,"12.50"
"2301025X32","2023-01-02",48,"45.65"
"2301025X33","2023-01-02",593,"5.45"
"2301025X34","2023-01-02",421,"8.67"
"2301025X35","2023-01-02",662,"6.99"
"2301025X36","2023-01-02",157,"2.64"
"2301025X37","2023-01-02",246,"28.43"
"2301025X38","2023-01-02",646,"34.78"
"2301025X39","2023-01-02",664,"23.65"
"2301025X40","2023-01-02",392,"43.95"
"2301025X41","2023-01-02",606,"15.92"
"2301025X42","2023-01-02",402,"18.12"
"2301025X43","2023-01-02",641,"39.90"
"2301025X44","2023-01-02",652,"8.08"
"2301025X45","2023-01-02",204,"15.20"
"2301025X46","2023-01-02",546,"8.41"
"2301025X47","2023-01-02",242,"8.40"
"2301025X48","2023-01-02",410,"18.59"
"2301025X49","2023-01-02",70,"26.69"
"2301025X50","2023-01-02",67,"5.00"
"2301025X51","2023-01-02",590,"27.94"
"2301025X52","2023-01-02",722,"35.53"
"2301025X53","2023-01-02",546,"7.98"
"2301025X54","2023-01-02",681,"36.31"
"2301025X55","2023-01-02",57,"25.18"
"2301025X56","2023-01-02",157,"43.01"
"2301025X57","2023-01-02",621,"37.09"
"2301025X58","2023-01-02",133,"44.01"
"2301025X59","2023-01-02",246,"13.68"
"2301025X60","2023-01-02",334,"25.76"
"2301025X61","2023-01-02",431,"35.22"
"2301025X62","2023-01-02",677,"45.04"
"2301025X63","2023-01-02",632,"41.37"
"2301025X64","2023-01-02",773,"38.83"
"2301025X65","2023-01-02",51,"2.77"
"2301025X66","2023-01-02",55,"44.92"
"2301025X67","2023-01-02",307,"15.59"
"2301025X68","2023-01-02",104,"18.22"
"2301025X69","2023-01-02",595,"42.12"
"2301025X70","2023-01-02",542,"20.28"
"2301025X71","2023-01-02",521,"24.69"
"2301025X72","2023-01-02",397,"47.96"
"2301025X73","2023-01-02",503,"45.58"
"2301025X74","2023-01-02",309,"20.69"
"2301025X75","2023-01-02",506,"18.87"
"2301025X76","2023-01-02",88,"3.08"
"2301025X77","2023-01-02",714,"48.50"
"2301025X78","2023-01-02",45,"36.24"
"2301025X79","2023-01-02",509,"24.65"
"2301025X80","2023-01-02",516,"39.35"
"2301025X81","2023-01-02",765,"16.78"
"2301025X82","2023-01-02",509,"6.44"
"2301025X83","2023-01-02",658,"7.20"
"2301025X84","2023-01-02",408,"4.63"
"2301025X85","2023-01-02",33,"31.10"
"2301025X86","2023-01-02",688,"47.35"
"2301025X87","2023-01-02",426,"44.48"
"2301025X88","2023-01-02",281,"8.18"
"2301025X89","2023-01-02",437,"30.93"
"2301025X90","2023-01-02",602,"19.19"
"2301025X91","2023-01-02",345,"46.55"
"2301025X92","2023-01-02",204,"23.13"
"2301025X93","2023-01-02",87,"49.10"
"2301025X94","2023-01-02",516,"7.43"
"2301025X95","2023-01-02",480,"16.81"
"2301025X96","2023-01-02",492,"17.42"
"2301025X97","2023-01-02",46,"4.84"
"2301025X98","2023-01-02",699,"15.05"
"2301025X99","2023-01-02",739,"17.87"
"2301025100","2023-01-02",110,"3.78"
"2301025101","2023-01-02",55,"32.53"
"2301025102","2023-01-02",575,"20.13"
"2301025103","2023-01-02",119,"37.56"
"2301025104","2023-01-02",435,"30.06"
"2301025105","2023-01-02",486,"34.83"
"2301025106","2023-01-02",40,"13.84"
"2301025107","2023-01-02",122,"4.26"
"2301025108","2023-01-02",264,"45.83"
"2301025109","2023-01-02",681,"35.56"
"2301025110","2023-01-02",372,"19.47"
"2301025111","2023-01-02",350,"9.55"
"2301025112","2023-01-02",692,"39.18"
"2301025113","2023-01-02",769,"40.76"
"2301025114","2023-01-02",457,"41.83"
"2301025115","2023-01-02",356,"16.27"
"2301025116","2023-01-02",306,"6.93"
"2301025117","2023-01-02",611,"4.05"
"2301025118","2023-01-02",612,"4.68"
"2301025119","2023-01-02",217,"10.60"
"2301025120","2023-01-02",122,"14.39"
"2301025121","2023-01-02",159,"26.34"
"2301025122","2023-01-02",684,"4.09"
"2301025123","2023-01-02",301,"8.60"
"2301025124","2023-01-02",195,"12.71"
"2301025125","2023-01-02",519,"8.95"
"2301025126","2023-01-02",269,"17.17"
"2301025127","2023-01-02",57,"48.75"
"2301025128","2023-01-02",297,"7.25"
"2301025129","2023-01-02",706,"26.72"
"2301025130","2023-01-02",255,"27.13"
"2301025131","2023-01-02",325,"49.37"
"2301025132","2023-01-02",483,"2.29"
"2301025133","2023-01-02",617,"21.01"
"2301025134","2023-01-02",624,"26.36"
"2301025135","2023-01-02",136,"5.19"
"2301025136","2023-01-02",59,"43.52"
"2301025137","2023-01-02",200,"46.46"
"2301025138","2023-01-02",198,"42.05"
"2301025139","2023-01-02",754,"8.71"
"2301025140","2023-01-02",314,"23.85"
"2301025141","2023-01-02",574,"29.85"
"2301025142","2023-01-02",605,"25.05"
"2301025143","2023-01-02",337,"44.82"
"2301025144","2023-01-02",31,"35.21"
"2301025145","2023-01-02",356,"42.13"
"2301025146","2023-01-02",650,"44.20"
"2301025147","2023-01-02",91,"39.36"
"2301025148","2023-01-02",275,"47.23"
"2301025149","2023-01-02",380,"42.47"
"2301025150","2023-01-02",236,"25.15"
"2301025151","2023-01-02",30,"17.70"
"2301025152","2023-01-02",81,"37.06"
"2301025153","2023-01-02",397,"48.50"
"2301025154","2023-01-02",331,"2.23"
"2301025155","2023-01-02",439,"26.94"
"2301025156","2023-01-02",226,"13.80"
"2301025157","2023-01-02",758,"27.00"
"2301025158","2023-01-02",18,"38.25"
"2301025159","2023-01-02",739,"10.60"
"2301025160","2023-01-02",297,"6.28"
"2301025161","2023-01-02",753,"10.95"
"2301025162","2023-01-02",29,"4.19"
"2301025163","2023-01-02",670,"21.13"
"2301035XX1","2023-01-03",484,"2.71"
"2301035XX2","2023-01-03",318,"44.99"
"2301035XX3","2023-01-03",754,"48.95"
"2301035XX4","2023-01-03",171,"10.23"
"2301035XX5","2023-01-03",689,"5.38"
"2301035XX6","2023-01-03",382,"10.10"
"2301035XX7","2023-01-03",116,"35.40"
"2301035XX8","2023-01-03",309,"45.04"
"2301035XX9","2023-01-03",516,"47.20"
"2301035X10","2023-01-03",386,"29.25"
"2301035X11","2023-01-03",155,"23.30"
"2301035X12","2023-01-03",665,"47.12"
"2301035X13","2023-01-03",147,"32.63"
"2301035X14","2023-01-03",145,"13.06"
"2301035X15","2023-01-03",403,"46.27"
"2301035X16","2023-01-03",480,"28.76"
"2301035X17","2023-01-03",47,"39.19"
"2301035X18","2023-01-03",164,"6.79"
"2301035X19","2023-01-03",109,"36.69"
"2301035X20","2023-01-03",379,"35.76"
"2301035X21","2023-01-03",253,"38.23"
"2301035X22","2023-01-03",591,"16.68"
"2301035X23","2023-01-03",603,"42.43"
"2301035X24","2023-01-03",507,"35.90"
"2301035X25","2023-01-03",772,"15.61"
"2301035X26","2023-01-03",723,"33.09"
"2301035X27","2023-01-03",478,"27.39"
"2301035X28","2023-01-03",626,"24.58"
"2301035X29","2023-01-03",646,"9.23"
"2301035X30","2023-01-03",199,"31.43"
"2301035X31","2023-01-03",43,"8.37"
"2301035X32","2023-01-03",130,"37.14"
"2301035X33","2023-01-03",629,"6.86"
"2301035X34","2023-01-03",246,"46.45"
"2301035X35","2023-01-03",212,"4.20"
"2301035X36","2023-01-03",10,"20.90"
"2301035X37","2023-01-03",43,"34.87"
"2301035X38","2023-01-03",524,"9.45"
"2301035X39","2023-01-03",717,"2.60"
"2301035X40","2023-01-03",673,"49.37"
"2301035X41","2023-01-03",617,"21.92"
"2301035X42","2023-01-03",496,"33.46"
"2301035X43","2023-01-03",203,"33.66"
"2301035X44","2023-01-03",609,"10.20"
"2301035X45","2023-01-03",258,"23.96"
"2301035X46","2023-01-03",12,"15.52"
"2301035X47","2023-01-03",217,"38.48"
"2301035X48","2023-01-03",472,"11.79"
"2301035X49","2023-01-03",365,"24.73"
"2301035X50","2023-01-03",595,"11.61"
"2301035X51","2023-01-03",49,"47.29"
"2301035X52","2023-01-03",565,"11.56"
"2301035X53","2023-01-03",412,"25.48"
"2301035X54","2023-01-03",681,"46.87"
"2301035X55","2023-01-03",305,"2.94"
"2301035X56","2023-01-03",582,"37.63"
"2301035X57","2023-01-03",541,"28.48"
"2301035X58","2023-01-03",298,"43.34"
"2301035X59","2023-01-03",118,"37.77"
"2301035X60","2023-01-03",731,"29.70"
"2301035X61","2023-01-03",331,"40.05"
"2301035X62","2023-01-03",589,"34.85"
"2301035X63","2023-01-03",430,"15.89"
"2301035X64","2023-01-03",716,"8.50"
"2301035X65","2023-01-03",96,"14.52"
"2301035X66","2023-01-03",708,"35.13"
"2301035X67","2023-01-03",703,"47.63"
"2301035X68","2023-01-03",567,"20.13"
"2301035X69","2023-01-03",640,"24.55"
"2301035X70","2023-01-03",468,"47.54"
"2301035X71","2023-01-03",404,"6.21"
"2301035X72","2023-01-03",37,"10.15"
"2301035X73","2023-01-03",39,"48.35"
"2301035X74","2023-01-03",117,"4.44"
"2301035X75","2023-01-03",646,"13.44"
"2301035X76","2023-01-03",560,"9.38"
"2301035X77","2023-01-03",444,"27.95"
"2301035X78","2023-01-03",759,"8.48"
"2301035X79","2023-01-03",596,"43.25"
"2301035X80","2023-01-03",444,"14.60"
"2301035X81","2023-01-03",566,"41.77"
"2301035X82","2023-01-03",677,"34.81"
"2301035X83","2023-01-03",250,"18.14"
"2301035X84","2023-01-03",373,"26.77"
