"id","date","customer_id","amount"
"2301022XX1","2023-01-02",666,"69.94"
"2301022XX2","2023-01-02",662,"62.35"
"2301022XX3","2023-01-02",157,"84.29"
"2301022XX4","2023-01-02",590,"84.56"
"2301022XX5","2023-01-02",770,"64.31"
"2301022XX6","2023-01-02",55,"81.92"
"2301022XX7","2023-01-02",88,"88.93"
"2301022XX8","2023-01-02",714,"70.09"
"2301022XX9","2023-01-02",765,"23.25"
"2301022X10","2023-01-02",602,"84.21"
"2301022X11","2023-01-02",693,"57.37"
"2301022X12","2023-01-02",55,"41.90"
"2301022X13","2023-01-02",769,"59.05"
"2301022X14","2023-01-02",617,"84.63"
"2301022X15","2023-01-02",574,"29.43"
"2301022X16","2023-01-02",48,"68.12"
"2301022X17","2023-01-02",300,"64.71"
"2301022X18","2023-01-02",670,"56.47"
"2301022X19","2023-01-02",186,"11.45"
"2301022X20","2023-01-02",431,"63.17"
"2301032XX1","2023-01-03",772,"53.84"
"2301032XX2","2023-01-03",629,"55.43"
"2301032XX3","2023-01-03",123,"33.59"
"2301032XX4","2023-01-03",430,"20.17"
"2301032XX5","2023-01-03",637,"86.61"
"2301032XX6","2023-01-03",232,"67.27"
"2301032XX7","2023-01-03",394,"36.03"
"2301032XX8","2023-01-03",23,"11.99"
"2301032XX9","2023-01-03",769,"43.84"
"2301032X10","2023-01-03",571,"11.29"
"2301032X11","2023-01-03",338,"15.92"
"2301032X12","2023-01-03",116,"80.82"
"2301032X13","2023-01-03",145,"64.19"
"2301032X14","2023-01-03",164,"23.18"
"2301032X15","2023-01-03",253,"58.65"
"2301032X16","2023-01-03",114,"40.90"
"2301042XX1","2023-01-04",297,"53.18"
"2301042XX2","2023-01-04",395,"75.50"
"2301042XX3","2023-01-04",731,"73.14"
"2301042XX4","2023-01-04",597,"75.72"
"2301042XX5","2023-01-04",400,"46.13"
"2301042XX6","2023-01-04",198,"74.62"
"2301042XX7","2023-01-04",573,"78.40"
"2301042XX8","2023-01-04",572,"75.53"
"2301042XX9","2023-01-04",96,"50.33"
"2301042X10","2023-01-04",638,"38.29"
"2301042X11","2023-01-04",108,"49.28"
"2301042X12","2023-01-04",638,"44.30"
"2301042X13","2023-01-04",79,"78.48"
"2301042X14","2023-01-04",639,"50.21"
"2301042X15","2023-01-04",448,"41.79"
"2301042X16","2023-01-04",154,"11.37"
"2301042X17","2023-01-04",665,"74.59"
"2301042X18","2023-01-04",765,"80.47"
"2301042X19","2023-01-04",201,"85.44"
"2301042X20","2023-01-04",273,"20.24"
"2301042X21","2023-01-04",763,"36.97"
"2301052XX1","2023-01-05",403,"19.99"
"2301052XX2","2023-01-05",496,"81.48"
"2301052XX3","2023-01-05",18,"87.32"
"2301052XX4","2023-01-05",154,"31.50"
"2301052XX5","2023-01-05",568,"51.12"
"2301052XX6","2023-01-05",260,"68.10"
"2301052XX7","2023-01-05",469,"59.29"
"2301052XX8","2023-01-05",535,"80.71"
"2301052XX9","2023-01-05",83,"88.25"
"2301052X10","2023-01-05",60,"10.59"
"2301052X11","2023-01-05",591,"37.14"
"2301052X12","2023-01-05",299,"14.45"
"2301052X13","2023-01-05",729,"61.86"
"2301052X14","2023-01-05",426,"78.63"
"2301052X15","2023-01-05",610,"53.30"
"2301052X16","2023-01-05",729,"23.59"
"2301052X17","2023-01-05",749,"34.63"
"2301052X18","2023-01-05",524,"21.68"
"2301052X19","2023-01-05",469,"31.62"
"2301062XX1","2023-01-06",171,"58.57"
"2301062XX2","2023-01-06",164,"54.07"
"2301062XX3","2023-01-06",751,"35.00"
"2301062XX4","2023-01-06",453,"69.57"
"2301062XX5","2023-01-06",300,"57.07"
"2301062XX6","2023-01-06",415,"25.85"
"2301062XX7","2023-01-06",631,"37.48"
"2301062XX8","2023-01-06",193,"29.64"
"2301062XX9","2023-01-06",117,"59.39"
"2301062X10","2023-01-06",587,"15.82"
"2301062X11","2023-01-06",657,"82.95"
"2301062X12","2023-01-06",306,"34.78"
"2301062X13","2023-01-06",396,"17.82"
"2301062X14","2023-01-06",317,"53.65"
"2301062X15","2023-01-06",308,"54.95"
"2301062X16","2023-01-06",286,"26.63"
"2301062X17","2023-01-06",133,"13.78"
"2301072XX1","2023-01-07",171,"31.63"
"2301072XX2","2023-01-07",573,"78.91"
"2301072XX3","2023-01-07",235,"46.37"
"2301072XX4","2023-01-07",240,"50.46"
"2301072XX5","2023-01-07",28,"16.08"
"2301072XX6","2023-01-07",498,"87.94"
"2301072XX7","2023-01-07",217,"77.53"
"2301072XX8","2023-01-07",311,"69.58"
"2301072XX9","2023-01-07",676,"77.49"
"2301072X10","2023-01-07",51,"51.33"
"2301072X11","2023-01-07",655,"50.40"
"2301072X12","2023-01-07",527,"38.20"
"2301072X13","2023-01-07",304,"58.46"
"2301072X14","2023-01-07",131,"89.06"
"2301082XX1","2023-01-08",506,"12.64"
"2301082XX2","2023-01-08",13,"65.11"
"2301082XX3","2023-01-08",525,"82.96"
"2301082XX4","2023-01-08",251,"77.80"
"2301082XX5","2023-01-08",407,"30.61"
"2301082XX6","2023-01-08",637,"82.26"
"2301082XX7","2023-01-08",376,"23.94"
"2301082XX8","2023-01-08",590,"88.44"
"2301082XX9","2023-01-08",29,"64.16"
"2301082X10","2023-01-08",472,"70.79"
"2301082X11","2023-01-08",654,"76.72"
"2301082X12","2023-01-08",685,"13.49"
