"id","date","customer_id","amount"
"2301029XX1","2023-01-02",670,"55.45"
"2301029XX2","2023-01-02",753,"37.85"
"2301029XX3","2023-01-02",186,"8.68"
"2301029XX4","2023-01-02",4,"69.74"
"2301029XX5","2023-01-02",165,"65.08"
"2301029XX6","2023-01-02",224,"41.27"
"2301029XX7","2023-01-02",102,"40.21"
"2301029XX8","2023-01-02",339,"50.63"
"2301029XX9","2023-01-02",727,"21.52"
"2301029X10","2023-01-02",465,"59.17"
"2301029X11","2023-01-02",578,"20.91"
"2301029X12","2023-01-02",732,"32.75"
"2301029X13","2023-01-02",344,"25.00"
"2301029X14","2023-01-02",582,"24.41"
"2301029X15","2023-01-02",685,"54.97"
"2301029X16","2023-01-02",559,"8.49"
"2301029X17","2023-01-02",328,"59.75"
"2301029X18","2023-01-02",112,"42.16"
"2301029X19","2023-01-02",718,"46.62"
"2301029X20","2023-01-02",371,"75.96"
"2301029X21","2023-01-02",421,"73.40"
"2301029X22","2023-01-02",23,"48.09"
"2301029X23","2023-01-02",542,"50.39"
"2301029X24","2023-01-02",48,"8.12"
"2301029X25","2023-01-02",421,"28.60"
"2301029X26","2023-01-02",595,"68.30"
"2301029X27","2023-01-02",246,"19.88"
"2301029X28","2023-01-02",519,"29.84"
"2301029X29","2023-01-02",664,"56.07"
"2301029X30","2023-01-02",402,"7.48"
"2301029X31","2023-01-02",641,"39.03"
"2301029X32","2023-01-02",652,"56.23"
"2301029X33","2023-01-02",410,"40.90"
"2301029X34","2023-01-02",67,"44.43"
"2301029X35","2023-01-02",590,"73.33"
"2301029X36","2023-01-02",722,"70.73"
"2301029X37","2023-01-02",546,"56.19"
"2301029X38","2023-01-02",681,"33.08"
"2301029X39","2023-01-02",82,"55.23"
"2301029X40","2023-01-02",621,"76.04"
"2301029X41","2023-01-02",133,"31.49"
"2301029X42","2023-01-02",637,"14.93"
"2301029X43","2023-01-02",677,"22.00"
"2301029X44","2023-01-02",632,"29.52"
"2301029X45","2023-01-02",773,"62.11"
"2301029X46","2023-01-02",51,"54.20"
"2301029X47","2023-01-02",770,"37.75"
"2301029X48","2023-01-02",307,"17.38"
"2301029X49","2023-01-02",726,"17.90"
"2301029X50","2023-01-02",111,"73.96"
"2301029X51","2023-01-02",104,"15.49"
"2301029X52","2023-01-02",503,"63.97"
"2301029X53","2023-01-02",513,"44.49"
"2301029X54","2023-01-02",714,"50.01"
"2301029X55","2023-01-02",516,"3.87"
"2301029X56","2023-01-02",509,"28.36"
